step,value
2500,166.6666717529297
5000,212.32000579833985
7500,233.88800521850584
10000,351.232542098999
12500,352.1092878890991
15000,361.69835910018924
17500,388.56185448899845
20000,451.45566904009854
22500,459.2601021360887
25000,577.7674293248235
27500,561.8906863923412
30000,540.301617753107
32500,576.9381246789682
35000,957.2443122110712
37500,1028.569880989964
40000,948.4128928909678
45000,1116.171603601871
47500,1048.854443241684
62500,1226.6689989175156
72500,1772.902099025764
92500,2453.611889123187
102500,2693.0507002108684
110000,2558.9456301897812
115000,2737.701067170803
117500,2879.7309604537227
127500,2908.5578644083507
130000,3732.3687771862656
132500,3408.631899467639
135000,3120.1687095208754
142500,3007.6518385687878
145000,2881.586654711909
147500,2685.627989240718
152500,2539.665190316646
167500,2816.5986712849817
177500,3541.838804156483
187500,3840.654923740835
195000,3946.1894313667513
197500,4607.6704882300755
207500,4305.803439407067
212500,5238.42309546636
222500,5907.680785919723
227500,5645.112707327751
232500,5420.601436594976
235000,5530.741292935479
237500,5541.200513251306
240000,5077.180461926176
242500,4722.395753135902
245000,4429.656177822312
247500,4081.815560040081
250000,3821.934004036073
252500,3538.6806060738722
255000,3252.6125454664852
257500,2982.6179596210086
260000,2791.9228262565643
262500,2627.730543630908
265000,2439.0574892678173
267500,2282.4767403410356
270000,2104.2790663069322
272500,1998.2261596762391
275000,1878.670212409787
277500,1767.06985986998
280000,1677.362873882982
282500,1571.6265864946838
285000,1523.4639278452155
287500,1419.617535060694
290000,1380.055781554625
292500,1316.0502033991625
295000,1265.1951830592463
297500,1199.80899605215
300000,1152.228096446935
302500,1125.7802868022418
305000,1077.6522581220177
307500,1046.7584617531752
310000,997.2326155778577
312500,946.5093540200719
315000,918.7917499168929
317500,901.6725724837972
320000,876.0053152354176
322500,859.3547837118758
325000,846.8859740418602
327500,824.6973766376742
330000,836.6276389739068
332500,834.0398750765162
335000,831.4358875688646
337500,801.9922988119781
340000,777.5680689307803
342500,769.5112620377024
345000,749.3934671327604
347500,746.5541204194844
350000,715.1587089878875
352500,698.1678380890987
355000,680.0081953934701
357500,651.2740415035371
360000,658.1866397945897
362500,642.4679758151308
365000,633.6926076769771
367500,613.8033456885762
370000,602.3030098990155
372500,596.8393776102859
375000,595.3268692926166
377500,586.6941823633549
380000,568.0580984776054
382500,553.6522886298449
385000,528.6370597668604
387500,537.5483537901744
390000,523.1310184111569
392500,516.2845822194553
395000,499.1561239975098
397500,476.98051098740723
400000,463.2324598886665
402500,468.2492163412061
405000,446.8076275317925
407500,443.3068635579101
410000,474.40950850094725
412500,478.3185576508525
415000,473.4724166074469
417500,472.7251749467022
420000,461.9926568416804
422500,449.5267255080983
425000,431.6883382356088
427500,466.8445044120479
430000,484.66005397084314
432500,466.35119273879786
435000,465.799407815504
437500,459.86232286891453
440000,442.39609180272623
442500,446.57314827186764
445000,454.8558358860871
447500,442.54525229747844
450000,433.0507276780821
452500,434.102799075313
455000,428.7782338894614
457500,435.32541050051526
460000,431.9595350998778
462500,438.0778668682104
465000,437.4500789606862
467500,441.4884054152035
470000,425.38401067446443
472500,431.7656108277211
475000,418.63904974494903
477500,408.23514538080565
480000,409.9991308427251
482500,405.37064720181195
485000,403.00501192499013
487500,391.03784508307706
490000,394.3740599644178
492500,395.836653967976
495000,398.91013273621746
497500,389.8691194625957
500000,380.7266533171173
502500,376.4539879854056
505000,373.99608918686505
507500,362.9853688179832
510000,357.55826137954426
512500,361.21493524158984
515000,355.7309417174309
517500,352.6078475456878
520000,345.75817424131435
522500,346.8252126521439
525000,342.34269138692946
527500,337.4973107980412
530000,336.2475797182371
532500,328.5128211360618
535000,325.2837619228463
537500,320.369671008882
540000,314.3963391619
542500,310.52337089512406
545000,308.7599223554164
547500,301.78393011987475
550000,293.560082701149
552500,285.47907443103406
555000,279.7311669879307
557500,277.04895910261416
560000,275.2773975429387
562500,274.4996577886448
565000,283.3211214531397
567500,278.6690096130015
570000,272.6657454314865
572500,274.0547250875566
575000,273.4048067780197
577500,272.53432732092085
580000,268.54089519918034
582500,265.59589686578573
585000,264.7585300795978
587500,265.0926776819896
590000,271.8405540788297
592500,271.1864974502436
595000,263.3261805299263
597500,262.0035630872853
600000,259.248661185295
602500,251.97764180748817
605000,251.5198770163878
607500,254.42503347978808
610000,254.8370741991921
612500,253.76245796579633
615000,249.4695449939237
617500,249.18259110488287
620000,243.3286172727149
622500,242.25939232522856
625000,232.3209530927057
627500,230.5524945632203
630000,230.0055779316053
632500,227.75047454518304
635000,228.52997268392645
637500,226.6269754155338
640000,229.6642778739804
642500,230.3878494762308
645000,228.35739735331475
647500,233.22165761798328
650000,234.6894912458334
652500,231.46220929654305
655000,229.50060445575593
657500,226.17781604387176
660000,224.01388118020725
662500,222.87612984197168
665000,224.52488007798937
667500,224.79739207019043
670000,219.9676528631714
672500,219.9542204015613
675000,221.50879836140516
677500,218.71176526598728
680000,217.6572559146815
682500,216.80819749850633
685000,219.16737713830415
687500,218.62563942447375
690000,218.4330751768506
692500,223.24431172654835
695000,220.86603381317084
697500,217.95443043185378
700000,215.84232021337544
702500,214.87347210317074
705000,216.6952160793771
707500,216.93478565796283
710000,216.46857912585796
712500,214.13710512440497
715000,212.87724135268712
717500,213.1167892511098
720000,213.0551103259988
722500,214.00414488666067
725000,211.24988365727194
727500,208.18918056986507
730000,205.6488345953981
732500,204.89933504699113
735000,205.85485594903028
737500,205.1027031788343
740000,204.19243286095087
742500,203.53472827114484
745000,202.7395882687374
747500,200.529914720184
750000,199.50000064074374
752500,197.84333401172796
755000,192.98566687032078
757500,198.78710018328871
760000,200.15005734025283
762500,204.525050995876
765000,203.11540325712824
767500,202.09553010670837
770000,203.97688590951407
772500,202.67919731856267
775000,201.89699230838607
777500,199.61498503311387
780000,200.57848652980246
782500,196.6073047469394
785000,198.64657427224546
787500,197.69730075615374
790000,196.5660319842493
792500,196.24019813396887
795000,196.116178320572
797500,196.26289331322184
800000,194.0794613427395
802500,195.27920716403196
805000,193.60128644762875
807500,192.54115780286588
810000,190.81561410509883
812500,189.29833797290925
815000,193.14123214192693
817500,191.34710862255847
820000,194.29421538725575
822500,195.89812667323721
825000,194.8006220503471
827500,199.4405595401366
830000,199.01958097870107
832500,197.77476551999112
835000,196.097288967992
837500,190.04867152138812
840000,190.58226567296023
842500,191.34711649824231
845000,191.9624048484181
847500,191.5590217244161
850000,191.89478672726747
852500,192.10530805454073
855000,192.88708529352027
857500,190.7555194033284
860000,192.15496746299556
862500,191.06089863417648
865000,191.30096203003617
867500,189.05658054871225
870000,190.892589669134
