step,value
862500,12.0
865000,13.3
867500,15.87
870000,19.383
872500,24.0447
875000,29.540229999999998
877500,35.686206999999996
880000,42.5175863
882500,50.06582767
885000,58.159244903
887500,66.5433204127
890000,75.58898837142999
892500,84.93008953428699
895000,94.9370805808583
897500,105.54337252277246
900000,116.3890352704952
902500,127.35013174344567
905000,138.7151185691011
907500,150.243606712191
910000,161.9192460409719
912500,173.9273214368747
915000,185.73458929318724
917500,198.06113036386853
920000,210.75501732748168
922500,223.5795155947335
925000,236.22156403526014
927500,248.59940763173412
930000,261.03946686856074
932500,273.8355201817047
935000,286.8519681635342
937500,299.7667713471808
940000,312.8900942124627
942500,325.70108479121643
945000,338.6309763120948
947500,351.36787868088527
950000,363.93109081279675
952500,376.5379817315171
955000,389.0841835583654
957500,401.5757652025288
960000,414.11818868227596
962500,426.1063698140483
