step,value
442500,0.0
515000,0.0
620000,0.01000000014901161
622500,0.013545454815030096
625000,0.014822488300502298
627500,0.015381055755168196
630000,0.01548229435034096
632500,0.0167118427137807
635000,0.017450296906853464
637500,0.018863161902032567
640000,0.0198339885849377
642500,0.021328850437279386
645000,0.022345571681030848
647500,0.023052190994472734
650000,0.02348669790201017
652500,0.02430258510684337
655000,0.02538109855212598
657500,0.02613969216964688
660000,0.02762828718324345
662500,0.02888555892437555
