step,value
27500,0.24683693051338196
52500,0.23026991933584215
77500,0.22340512171387675
105000,0.2407412817627192
130000,0.29863350008875134
157500,0.3324993647481501
182500,0.3140356702219397
207500,0.32100028657415064
232500,0.3155206131651868
260000,0.5074429113609972
285000,0.7052499650964185
312500,0.8926965414627531
337500,1.04612329177357
365000,1.1846181622650973
390000,1.310843307212599
415000,1.4099950776418517
442500,1.422766827278179
467500,1.4178576315040965
492500,1.4587234119709354
520000,1.4350339287641067
545000,1.4159612638463752
570000,1.4211618288794319
595000,1.4391069219505037
622500,1.449685055553488
647500,1.3725246952827919
672500,1.322323003428234
700000,1.2854301980290295
725000,1.240041653915061
750000,1.194306439701152
775000,1.2667168735356023
802500,1.3225423776111802
827500,1.3800630584062756
852500,1.4847897065909166
880000,1.6555661356358042
905000,1.9517137285388986
930000,2.105749876169933
955000,2.273266772212302
982500,2.376746588750227
1027500,2.3396790389450284
1052500,2.274200698515644
1080000,2.3004979557819993
1105000,2.2644237995470613
1130000,2.2996929216675506
1157500,2.2759415383600485
1182500,2.198721558642086
1207500,2.229020086638656
1232500,2.2169829556755962
1260000,2.2127675607275434
1285000,2.189340352517796
1310000,2.1421061868987374
1337500,2.0979936106969617
1362500,2.0022818789455026
1387500,1.9752774607157166
1415000,1.926499554903697
1440000,1.8946684146446506
1465000,1.895101411150919
1492500,1.9070793357554316
1517500,1.91363929215639
1542500,1.9106416330060585
1567500,1.8845323346842429
1595000,1.9180046936383037
1620000,1.8445986944893171
1645000,1.7912913118415328
1670000,1.722576506848328
1697500,1.7319145511822636
1722500,1.7277591387543143
1747500,1.6460214758020395
1775000,1.633378735551395
1800000,1.585855738552652
1825000,1.5409412052323601
1850000,1.4851315855464502
1877500,1.4536824976934042
1902500,1.4276157339393836
1927500,1.361030476091481
1955000,1.353138449905673
1980000,1.3366699723467461
2005000,1.3162457681952624
2030000,1.2759999755554237
2057500,1.3124213388740573
2082500,1.300796309516986
2107500,1.2586851531918288
2132500,1.2714690340747334
2160000,1.240266684280923
2185000,1.2822323831204394
2210000,1.2366918854967195
2237500,1.2459087967624163
2262500,1.2161051392331625
2287500,1.2832924210823988
2312500,1.2551138595161513
2340000,1.2350634034351418
2365000,1.2146483268626846
2390000,1.2381684785743043
2417500,1.2683054452234046
2442500,1.300659165837783
2467500,1.277173828534858
2495000,1.2621396942012697
2520000,1.2291104641324153
2545000,1.1701089781611447
2570000,1.1686825134237961
2597500,1.1805106679690203
2622500,1.1037467193686057
2647500,1.1814180140569588
2675000,1.2268215231485469
2700000,1.2342260550606818
2725000,1.217505026264361
2750000,1.193088109853898
2777500,1.2503350873855064
2802500,1.2883044511139967
2827500,1.2996698883230011
2852500,1.3201365948070158
2880000,1.3250936103179218
2905000,1.2432534902376677
2930000,1.225697214223392
2957500,1.1853204740441863
2982500,1.1788439071199617
