step,value
962500,0.1666666716337204
965000,0.16428571939468384
967500,0.16398617923259737
970000,0.1653653395175934
972500,0.16434604632854466
975000,0.1626173246622086
977500,0.16220925051450732
980000,0.16247184245419505
982500,0.1607877656993151
985000,0.16152314798625234
987500,0.16217083296112947
990000,0.1634719973289913
992500,0.16334101308738702
995000,0.16273018195648953
997500,0.16243349439877242
1000000,0.16183260315934989
1002500,0.18411088199269926
1005000,0.1990331281201734
1007500,0.20412981530815605
1010000,0.20929822940340856
1012500,0.21036840634385842
1015000,0.21008628299987403
1017500,0.2098323719902881
1020000,0.20814737980401943
1022500,0.20447549943479684
1025000,0.20174946836548555
1027500,0.19901638137028374
1030000,0.19578141039662741
1032500,0.19194400965618952
1035000,0.18969876163704275
1037500,0.18647691691073548
1040000,0.1830466158761332
1042500,0.17950705446962262
1045000,0.17575388036516676
1047500,0.1714732904644075
1050000,0.167468818373495
1052500,0.1646884164336446
1055000,0.16188077757863312
1057500,0.1592062127301822
1060000,0.15679910436657638
1062500,0.15427708913732383
1065000,0.15241721978648437
