step,value
2500,-4.7504963874816895
5000,-4.69437918663025
7500,-4.678945937156678
10000,-4.310507820606232
12500,-4.277697771692276
15000,-4.276875159058571
17500,-4.149634773355961
20000,-4.058611978431559
22500,-3.9579112792074826
25000,-3.7854007241779697
27500,-3.702335848598552
30000,-3.7129604228039437
32500,-3.731566066238271
35000,-3.163613660359073
37500,-3.266629573604782
40000,-3.486131891818034
45000,-2.847781072745789
47500,-2.8525282359332462
65000,0.2146076366713081
72500,0.7412695651123316
92500,4.196464279133324
102500,7.028739314232686
110000,8.932213611264007
115000,9.544403875046054
117500,11.695747140800727
130000,14.36595437862495
132500,12.617091208142217
135000,10.906202008821527
142500,12.480597791520916
145000,13.688181475503589
147500,14.89215499970616
152500,15.782059372782419
167500,14.483816857325772
177500,16.394370336998467
187500,18.268940871657996
197500,19.162637185188
207500,17.303732101141094
212500,16.980234882848272
225000,19.41036233450485
227500,20.74241455625456
235000,21.815234830060255
237500,22.041714200447785
240000,22.365522631172052
242500,22.966123039868812
245000,22.07990416468442
247500,22.346206503342934
250000,21.279770038036716
252500,21.704128201164195
255000,20.598965777776293
257500,20.933567834337044
260000,20.100003855621356
262500,20.767236784573377
265000,20.000252886542064
267500,19.949313596423014
270000,20.331673343958446
272500,20.907177960856547
275000,21.32676633237343
277500,21.70307941471226
280000,21.986734180760564
282500,22.29872989873187
285000,22.718138410628704
287500,22.831778938157143
290000,23.13702305667053
292500,23.260067920498102
295000,23.478707582305713
297500,23.569925264016547
300000,23.748830183293602
302500,23.964502928208873
305000,24.014532242016404
307500,23.728537697013984
310000,23.098356656804775
312500,23.25557326010623
315000,22.536750972852936
317500,22.361988229083266
320000,22.64810786473207
322500,23.000180737621655
325000,23.21743332425988
327500,23.388839749219144
330000,23.589566637029165
332500,23.774926646605056
335000,23.979488310863008
337500,23.98566679148325
340000,23.381151664153773
342500,23.560959280636343
345000,23.650277323519973
347500,23.322476268108893
350000,22.881926715638823
352500,22.466517704963614
355000,22.16628622255319
357500,22.3781434706592
360000,22.741794348813006
362500,22.99073484038434
365000,23.17798051680733
367500,22.751669395973767
370000,22.93673385591252
372500,23.077149177291485
375000,22.772843835978353
377500,23.010341404284816
380000,22.683415578370493
382500,21.901708847193603
385000,22.05370219282092
387500,22.449793574796153
